track,baseline,window,start,end,Sharpe Ratio,Sortino Ratio,Information Ratio,Max Drawdown,Total Return,Trading Frequency,Turnover,n_fills,n_days,n_rejections,final_equity
futures,baseline_2_equal_weighted,train,2018-01-01,2022-12-31,0.5825533110376735,0.7123452021682075,,-0.3138153797396048,0.5502455500000005,22.618125484120835,0.00014692778265895445,80,1291,0,3100491.0999999996
futures,baseline_2_equal_weighted,validation,2023-01-01,2024-06-30,2.718849053275388,4.512946414381492,,-0.10470596571594837,0.6028124999999955,5.688311688311688,0.00010598977029926734,6,385,0,3205625.0
futures,baseline_2_equal_weighted,test,2024-07-01,2025-12-31,0.9202030770672541,1.1741479389529155,,-0.1954164604500863,0.22660499999999595,39.40874035989717,0.0003923022044065299,42,389,0,2453210.0
futures,baseline_1_equal_notional,test,2024-07-01,2025-12-31,1.0280391894970717,1.3353731094647225,0.4207896285068824,-0.19504363033496563,0.24591250000000153,1.8766066838046271,7.114791941894822e-05,2,389,0,2491825.0
futures,baseline_3_risk_parity,test,2024-07-01,2025-12-31,1.0280391894970717,1.3353731094647225,0.4207896285068824,-0.19504363033496563,0.24591250000000153,1.8766066838046271,7.114791941894822e-05,2,389,0,2491825.0
futures,baseline_4_macd,test,2024-07-01,2025-12-31,-0.6995928196014556,-0.6243791284599305,-1.7382627970786997,-0.23889460587564826,-0.1186375000000005,103.2133676092545,0.004733917100493982,110,389,0,1762725.0
futures,baseline_5_rsi_mean_reversion,test,2024-07-01,2025-12-31,0.11292958764270151,0.07435659491500787,-0.9798643756390581,-0.13242129545249468,0.006757470000000376,185.78406169665809,0.01788951509809381,198,389,0,2013514.94
