cell_key,style,trading_frequency_bin,max_drawdown_bin,sharpe_bin,sortino_bin,total_return_bin,entry_id,island,generation,information_ratio,turnover
10000000|4|5|8|9|9,10000000,4,5,8,9,9,seed_0_trend_following:g0,0,0,-0.0098330295452396,0.0227317922383442
01000000|7|4|5|6|5,01000000,7,4,5,6,5,seed_1_mean_reversion:g0,1,0,-0.4299228763044444,0.6435991125051587
00100000|6|6|10|10|10,00100000,6,6,10,10,10,seed_2_volatility:g0,2,0,-0.1184918871281799,0.0147963598891638
00010000|12|6|9|10|9,00010000,12,6,9,10,9,seed_3_volume_liquidity:g0,3,0,-0.5626755404919528,0.0593464083932952
00001000|7|8|10|11|10,00001000,7,8,10,11,10,seed_4_breakout:g0,4,0,-0.0398772540416467,0.0646974829092379
00000100|4|11|4|4|3,00000100,4,11,4,4,3,seed_5_statistical_arb:g0,5,0,-0.5754860854435628,0.251652035791849
00000010|6|6|10|10|10,00000010,6,6,10,10,10,seed_6_risk_parity:g0,6,0,-0.1184918871281799,0.0147963598891638
00000001|5|12|11|8|7,00000001,5,12,11,8,7,seed_7_calendar_seasonal:g0,7,0,-0.2920626152197272,0.1705956101515855
00000000|4|7|11|12|12,00000000,4,7,11,12,12,seed_8_benchmark:g0,8,0,0.4014737585068235,0.004039580423909
