entry_id,island,generation,strategy_name,style,trading_frequency,max_drawdown,sharpe,sortino,total_return,turnover,information_ratio,lineage_parents,lineage_cousins,source,placed,placed_reason
seed_0_trend_following:g0,0,0,seed_0_trend_following,10000000,45.19655857048313,-0.3755272876232306,0.5096688972603237,0.5945565340039674,0.7033660054957451,0.0227317922383442,-0.0098330295452396,[],[],,True,cell empty
seed_1_mean_reversion:g0,1,0,seed_1_mean_reversion,01000000,1226.1442753143613,-0.4377632169204043,0.2530650793011781,0.2974395150135684,0.2068341121363388,0.6435991125051587,-0.4299228763044444,[],[],,True,cell empty
seed_2_volatility:g0,2,0,seed_2_volatility,00100000,681.6174718729318,-0.3179313826556749,0.6285691019223065,0.7465676125054841,0.7717548350340393,0.0147963598891638,-0.1184918871281799,[],[],,True,cell empty
seed_3_volume_liquidity:g0,3,0,seed_3_volume_liquidity,00010000,2595.716743878226,-0.3410745369439812,0.5618836869194684,0.683878407298372,0.7093675681021134,0.0593464083932952,-0.5626755404919528,[],[],,True,cell empty
seed_4_breakout:g0,4,0,seed_4_breakout,00001000,1108.066181336863,-0.2221525783147558,0.6800043601423836,0.817374963813448,0.7885245810186636,0.0646974829092379,-0.0398772540416467,[],[],,True,cell empty
seed_5_statistical_arb:g0,5,0,seed_5_statistical_arb,00000100,74.04897418927862,-0.0922892288832156,0.1480341616184791,0.0819397757513261,0.0237982389833546,0.251652035791849,-0.5754860854435628,[],[],,True,cell empty
seed_6_risk_parity:g0,6,0,seed_6_risk_parity,00000010,681.6174718729318,-0.3179313826556749,0.6285691019223065,0.7465676125054841,0.7717548350340393,0.0147963598891638,-0.1184918871281799,[],[],,True,cell empty
seed_7_calendar_seasonal:g0,7,0,seed_7_calendar_seasonal,00000001,542.8590337524818,-0.0912775670883326,0.7624506761799077,0.5242894229447718,0.449675193691988,0.1705956101515855,-0.2920626152197272,[],[],,True,cell empty
seed_8_benchmark:g0,8,0,seed_8_benchmark,00000000,2.501654533421575,-0.3030260265026697,0.7131955391647926,0.8548364414203106,0.9800618998708452,0.004039580423909,0.4014737585068235,[],[],,True,cell empty
