track,baseline,window,start,end,Sharpe Ratio,Sortino Ratio,Information Ratio,Max Drawdown,Total Return,Trading Frequency,Turnover,n_fills,n_days,n_rejections,final_equity
equities,baseline_2_equal_weighted,train,2015-01-01,2020-12-31,0.6044157632091884,0.7328785925930666,,-0.3346924971449925,0.7896422448704274,884.9185969556585,0.005388087774449614,5306,1511,0,1789642.2448704236
equities,baseline_2_equal_weighted,validation,2021-01-01,2022-12-31,0.9293589574723335,1.3845932713838487,,-0.186989410764409,0.32303574287970216,758.5049701789264,0.006988334911545589,1514,503,0,1323035.742879701
equities,baseline_2_equal_weighted,test,2023-01-01,2024-12-31,1.7847668562508228,2.7133515661713443,,-0.09244637657210367,0.4611258539981673,482.41434262948206,0.0062717862111080465,961,502,0,1461125.8539981695
equities,baseline_1_market_cap_weighted,test,2023-01-01,2024-12-31,1.9732671211002795,2.9398173611139455,0.6881189951103465,-0.09203667951628935,0.6308182709995751,13.05179282868526,0.004781993109240992,26,502,0,1630818.2709995748
equities,baseline_3_risk_parity,test,2023-01-01,2024-12-31,1.6348153337143851,2.4395021161849924,-1.5055633075025638,-0.0846564756693067,0.38990249399735166,871.4581673306773,0.008816375651923936,1736,502,0,1389902.4939973522
equities,baseline_4_macd,test,2023-01-01,2024-12-31,1.3029446091302688,2.000626865427384,-0.3795489341834738,-0.13670034957840352,0.3688595281974447,1576.7569721115538,0.14744762686240073,3141,502,1,1368859.528197446
equities,baseline_5_rsi_mean_reversion,test,2023-01-01,2024-12-31,1.1406212335684143,1.6382018476509679,0.005366950991796632,-0.13586352467788507,0.43781314107440417,1184.7011952191235,0.6104578384939098,2360,502,16,1437813.1410744025
